Date,Open,High,Low,Close,Adj Close,Volume
1/05/2017,31.690001,32.240002,31.5,32.240002,32.240002,1639400
8/05/2017,31.950001,32.509998,31.52,32.380001,32.380001,1685700
15/05/2017,32.830002,34.189999,32.689999,34.150002,34.150002,2505000
22/05/2017,34.23,37.610001,34.09,37.549999,37.549999,1842900
29/05/2017,37.799999,38.389999,36.919998,37.84,37.84,2415300
5/06/2017,38.799999,40.360001,37.959999,38.43,38.43,5362700
12/06/2017,38.43,40.91,38.040001,40.490002,40.490002,3929700
19/06/2017,41.540001,43.25,41.380001,43.209999,43.209999,2027900
26/06/2017,43.709999,44.330002,41.349998,41.82,41.82,3527100
3/07/2017,40.880001,41.099998,38.130001,39.049999,39.049999,2070900
10/07/2017,39.869999,40.169998,39.25,39.830002,39.830002,1553100
17/07/2017,39.700001,42.119999,39.419998,41.709999,41.709999,1642900
24/07/2017,40.599998,43.07,39.32,42.389999,42.389999,2853700
31/07/2017,42.209999,42.889999,42,42.450001,42.450001,1522700
7/08/2017,42.900002,43.290001,40.509998,41.099998,41.099998,1520600
14/08/2017,41.200001,41.669998,40.950001,41.25,41.25,660000
21/08/2017,40.849998,41.43,40.830002,41.189999,41.189999,416900
28/08/2017,42.139999,42.23,41.310001,41.860001,41.860001,682900
4/09/2017,41.259998,41.630001,40.549999,41.560001,41.560001,520100
11/09/2017,42.869999,44.650002,41.650002,44.59,44.59,1753500
18/09/2017,44.349998,48.650002,43.950001,45.619999,45.619999,3394200
25/09/2017,45.639999,46.299999,44.82,45.950001,45.950001,1981600
2/10/2017,46.459999,49.16,46.07,48.669998,48.669998,1442600
9/10/2017,48.779999,49.599998,48.049999,49.599998,49.599998,970500
16/10/2017,49.619999,49.709999,47.490002,48.299999,48.299999,1552500
23/10/2017,48.34,48.799999,46.419998,47.66,47.66,3079500
30/10/2017,49.259998,51.740002,46.900002,47.220001,47.220001,3148200
6/11/2017,46.84,48.880001,46.549999,48.43,48.43,1834000
13/11/2017,48.41,49.880001,47.549999,49.650002,49.650002,1726700
20/11/2017,49.91,52.599998,49.709999,52.549999,52.549999,1029100
27/11/2017,53.41,53.959999,49.880001,50.259998,50.259998,2707900
4/12/2017,49.330002,50.029999,47.369999,48.299999,48.299999,2586200
11/12/2017,48.59,48.990002,47.599998,48.259998,48.259998,1848300
18/12/2017,48.130001,48.130001,46.169998,46.68,46.68,856400
25/12/2017,45.639999,46.810001,44.599998,45.07,45.07,1123800
1/01/2018,45.209999,48.549999,45.209999,47.43,47.43,1312200
8/01/2018,47.650002,50.5,47.16,50.400002,50.400002,1496900
15/01/2018,51.099998,54.75,49.799999,54.700001,54.700001,2510200
22/01/2018,54.93,56.07,54.389999,56.009998,56.009998,2603300
29/01/2018,55,58.450001,52.5,52.52,52.52,3982200
5/02/2018,52.66,53.369999,48.25,50.240002,50.240002,3043200
12/02/2018,50.450001,54.32,50.400002,54.150002,54.150002,1632800
19/02/2018,54.310001,56.950001,54.189999,56.91,56.91,1555600
26/02/2018,57.200001,57.709999,55,57.439999,57.439999,1256100
5/03/2018,54.599998,57.349998,54.450001,57.299999,57.299999,1441300
12/03/2018,56.919998,57.959999,56.34,57.709999,57.709999,1413300
19/03/2018,56.549999,57.779999,56.18,56.25,56.25,1487900
26/03/2018,56.279999,57.080002,54.209999,55.509998,55.509998,1070800
2/04/2018,55.98,55.98,51.299999,51.779999,51.779999,1901900
9/04/2018,52.73,53.5,52.040001,52.43,52.43,1520500
16/04/2018,52.48,53.400002,50.77,53.27,53.27,3270800
23/04/2018,53.619999,53.650002,50.700001,52.43,52.43,2520200
30/04/2018,52.5,53.419998,52.009998,53.41,53.41,1057400
7/05/2018,53.200001,54.48,51.790001,52.650002,52.650002,1999500
14/05/2018,52.549999,52.689999,51.16,51.169998,51.169998,1009400
21/05/2018,50.139999,50.27,47.599998,48.240002,48.240002,2021700
28/05/2018,48.150002,51.630001,48.150002,50.049999,50.049999,1756900
4/06/2018,46.880001,47.540001,44.900002,47.52,47.52,3000900
11/06/2018,47.5,48.639999,42.419998,42.990002,42.990002,4176400
18/06/2018,41.810001,42.029999,40.560001,41.439999,41.439999,2750800
25/06/2018,41.400002,41.400002,39.900002,40.790001,40.790001,1786600
2/07/2018,40.220001,41.150002,39.060001,39.369999,39.369999,1267100
9/07/2018,40.529999,41,39.610001,40.330002,40.330002,1227400
16/07/2018,41.5,42.080002,40.610001,41.580002,41.580002,2049500
23/07/2018,40.790001,42.68,40.790001,42.299999,42.299999,1056400
30/07/2018,42.099998,43.799999,40.48,43.259998,43.259998,3053000
6/08/2018,41.310001,42.119999,40.799999,40.91,40.91,1621400
13/08/2018,40.259998,40.759998,38.810001,40.259998,40.259998,1379100
